;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;12,700000000000003;0,01;0,002;0,012;0,04
2;21,700000000000003;0,02;0,005;0,025;0,057999999999999996
3;33,233333333333334;0,03;0,008;0,038;0,064
4;54,0;0,04;0,01;0,05;0,08
5;78,16666666666666;0,05;0,011000000000000001;0,061;0,09
6;105,16666666666666;0,06;0,013000000000000001;0,073;0,1
7;130,16666666666666;0,07;0,013999999999999999;0,084;0,10800000000000001
8;159,16666666666666;0,08;0,015;0,095;0,11599999999999999
9;191,16666666666669;0,09;0,016;0,106;0,12300000000000001
10;225,0;0,1;0,017;0,11699999999999999;0,13
11;259,0;0,11;0,018000000000000002;0,128;0,14
12;297,5;0,12;0,02;0,14;0,14800000000000002
13;340,0;0,13;0,021;0,151;0,154
14;374,0;0,14;0,023;0,163;0,159
15;416,5;0,15;0,024;0,174;0,163
16;467,5;0,16;0,026000000000000002;0,18600000000000003;0,17
17;510,0;0,17;0,027000000000000003;0,19699999999999998;0,175
18;561,1666666666666;0,18;0,027999999999999997;0,20800000000000002;0,182
19;616,0;0,19;0,03;0,22;0,192
20;667,1666666666666;0,2;0,031;0,231;0,2
21;718,1666666666666;0,21;0,033;0,243;0,20600000000000002
22;780,5;0,22;0,035;0,255;0,212
23;840,0;0,23;0,036000000000000004;0,266;0,218
24;908,0;0,24;0,038;0,278;0,22399999999999998
25;966,4000000000001;0,25;0,04;0,29;0,22899999999999998
26;1031,4333333333334;0,26;0,042;0,302;0,233
27;1103,9333333333334;0,27;0,044000000000000004;0,314;0,24
28;1178,4333333333334;0,28;0,046;0,326;0,24600000000000002
29;1268,9333333333334;0,29;0,048;0,33799999999999997;0,25
30;1412,2666666666667;0,3;0,048;0,348;0,255
31;1563,9333333333334;0,31;0,048;0,358;0,26
